project_id,client_age,client_gender,project_budget,project_duration,num_rooms,design_style,location,client_satisfaction,designer_experience,num_designers,material_quality,furniture_cost,lighting_cost,decor_cost,renovation_cost,project_completion_time,num_meetings,client_feedback,material_availability,designer_rating,project_rating,design_approval_time,issues_encountered,total_cost
68,,Other,7659.0,18,6,Modern,Urban,1.0,6.0,2,Low,15387,4130,5897,8506,13,11,Neutral,Not available,4,5,2,No,100877.0
69,64.0,Female,,7,4,Minimalist,Suburban,2.0,16.0,2,Medium,6840,3468,4192,30659,5,2,Neutral,Not available,2,4,2,No,
70,45.0,Other,79567.0,3,6,Minimalist,Urban,1.0,5.0,1,Low,16154,7769,739,8591,13,2,Negative,Not available,2,4,1,Yes,26259.0
71,40.0,Female,20037.0,13,1,Eclectic,Rural,3.0,9.0,3,High,15093,2079,1586,13996,10,5,Neutral,Scarce,4,4,3,Yes,77622.0
72,42.0,Female,51738.0,15,1,Minimalist,Rural,6.0,,1,High,5352,6492,1508,38828,3,7,Neutral,Available,4,5,4,No,137221.0
73,48.0,Other,76678.0,20,3,Contemporary,Urban,8.0,8.0,1,Low,1184,550,1378,48830,23,4,Neutral,Scarce,4,3,1,Yes,27792.0
74,50.0,Other,17109.0,19,8,Modern,Urban,3.0,14.0,4,Medium,11384,6952,5727,35370,13,14,Positive,Scarce,4,2,1,No,152462.0
75,49.0,Other,27010.0,3,8,Modern,Suburban,10.0,12.0,3,High,15319,5653,2863,14472,12,2,Positive,Available,3,5,5,Yes,170276.0
76,53.0,Male,13787.0,4,4,Minimalist,Suburban,9.0,10.0,1,Medium,9437,6523,7766,30098,4,12,Positive,Scarce,2,2,4,No,172090.0
77,39.0,Female,13472.0,5,6,Traditional,Suburban,10.0,13.0,2,Medium,11426,4800,3923,3196,10,10,Positive,Not available,1,3,3,Yes,98651.0
78,,Male,28383.0,1,8,Traditional,Rural,5.0,19.0,1,Low,8504,3287,1553,12091,3,1,Positive,Available,3,5,3,Yes,94583.0
79,49.0,Male,66709.0,4,7,Minimalist,Rural,7.0,15.0,3,High,19471,2655,7844,16040,17,19,Positive,Scarce,1,1,3,No,87614.0
80,,Other,74785.0,12,7,Contemporary,Rural,8.0,8.0,2,High,1600,7519,3657,49784,9,16,Positive,Scarce,1,3,1,No,157543.0
81,33.0,Male,39518.0,10,4,Traditional,Rural,3.0,10.0,2,Low,8804,5860,3509,7023,1,15,Neutral,Not available,5,4,5,No,19263.0
82,48.0,Other,58909.0,23,9,Minimalist,Suburban,2.0,3.0,2,Medium,14249,4730,3849,21543,18,14,Neutral,Scarce,2,5,1,No,65309.0
83,25.0,Female,23351.0,21,6,Contemporary,Rural,2.0,3.0,4,Medium,6537,8107,914,29377,9,9,Negative,Scarce,3,3,2,No,
84,32.0,Other,74624.0,20,3,Contemporary,Rural,5.0,5.0,2,High,19440,9098,3378,37635,21,15,Neutral,Scarce,2,3,2,No,75379.0
85,48.0,Male,58330.0,13,5,Eclectic,Rural,1.0,16.0,4,Low,15685,4697,3023,43337,20,7,Positive,Available,4,5,3,Yes,82969.0
86,35.0,Male,,23,5,Contemporary,Rural,2.0,17.0,4,Low,9724,5912,3790,41409,9,4,Positive,Available,2,4,5,No,
87,41.0,Other,89866.0,14,5,Traditional,Urban,9.0,6.0,1,Medium,6084,4999,3843,6004,2,18,Negative,Scarce,1,4,3,No,147631.0
88,32.0,Other,26778.0,23,8,Traditional,Suburban,7.0,16.0,1,Medium,3042,5409,4815,10963,19,8,Neutral,Scarce,4,3,3,No,68728.0
89,59.0,Male,29264.0,5,9,Minimalist,Suburban,6.0,2.0,2,Low,17741,7669,2200,14796,16,12,Neutral,Not available,2,2,1,No,9952.0
90,59.0,Female,64675.0,4,9,Minimalist,Rural,9.0,15.0,3,High,17761,3762,4671,41972,3,15,Negative,Available,2,3,3,Yes,66726.0
91,57.0,Female,10075.0,14,6,Contemporary,Urban,7.0,18.0,2,Medium,14336,9718,5980,8077,16,15,Positive,Available,1,5,3,No,
92,29.0,Other,80948.0,10,6,Modern,Suburban,5.0,1.0,1,Low,14414,3489,7051,30848,21,17,Positive,Available,4,5,5,No,45610.0
93,63.0,Female,53454.0,17,9,Eclectic,Suburban,9.0,19.0,2,Low,5797,8154,7014,13526,13,2,Positive,Scarce,1,5,5,Yes,91467.0
94,52.0,Male,33365.0,10,4,Modern,Rural,6.0,12.0,1,Low,4307,2724,6162,4261,3,12,Positive,Not available,2,4,5,Yes,138225.0
95,31.0,Other,77766.0,7,6,Contemporary,Rural,6.0,8.0,2,High,14721,5876,2012,18046,10,3,Negative,Not available,3,1,3,No,
96,33.0,Male,53200.0,16,4,Contemporary,Suburban,,6.0,3,Medium,3596,3420,6533,14397,22,7,Neutral,Scarce,3,5,5,Yes,144091.0
97,32.0,Male,,1,1,Modern,Suburban,1.0,12.0,2,Medium,18167,8201,2629,26269,18,6,Positive,Scarce,5,5,5,No,111827.0
98,36.0,Female,18947.0,17,7,Eclectic,Urban,5.0,7.0,3,Medium,19763,7041,3919,37158,6,14,Neutral,Not available,3,2,4,Yes,102167.0
99,58.0,Other,84222.0,21,6,Modern,Suburban,9.0,18.0,3,High,12795,6115,1494,26757,6,5,Neutral,Not available,4,2,4,Yes,133890.0
100,57.0,Other,99840.0,9,9,Minimalist,Suburban,8.0,14.0,2,Medium,15984,4815,7081,16299,18,4,Positive,Available,5,3,2,Yes,42929.0
101,47.0,Female,83610.0,6,7,Traditional,Rural,8.0,,3,Medium,13134,6600,5206,2902,6,15,Positive,Scarce,4,3,1,Yes,
102,48.0,Male,,19,7,Minimalist,Suburban,5.0,14.0,3,Medium,11782,3283,1678,43399,6,7,Positive,Available,3,3,1,Yes,39620.0
103,61.0,Male,61307.0,13,2,Traditional,Rural,,5.0,1,Medium,10234,3308,7671,49330,22,3,Neutral,Not available,3,5,5,No,123818.0
104,59.0,Male,9493.0,3,9,Contemporary,Suburban,3.0,9.0,1,High,19922,3831,1612,47308,13,13,Negative,Available,2,2,2,No,130803.0
105,64.0,Male,55085.0,7,9,Eclectic,Suburban,,8.0,3,Low,15618,2678,3215,4846,14,10,Positive,Not available,4,3,2,Yes,184546.0
106,46.0,Other,39228.0,22,6,Modern,Suburban,1.0,2.0,4,Low,18245,1297,6905,13359,21,2,Neutral,Not available,1,2,4,Yes,15623.0
107,51.0,Other,84676.0,9,3,Eclectic,Urban,9.0,,2,Medium,19260,3346,1049,3520,7,12,Neutral,Available,2,5,2,Yes,90504.0
108,59.0,Female,56875.0,22,1,Modern,Rural,6.0,13.0,3,Medium,11027,1429,5592,41832,13,12,Positive,Scarce,4,5,3,No,8809.0
109,,Female,36655.0,5,4,Minimalist,Urban,2.0,7.0,2,Medium,14986,5318,600,21098,15,19,Negative,Available,5,3,5,No,128690.0
110,,Other,48472.0,10,3,Minimalist,Suburban,,16.0,1,High,13400,3591,4995,40451,12,19,Positive,Available,4,5,3,No,97907.0
111,61.0,Other,,23,1,Modern,Urban,9.0,7.0,2,Medium,4526,2762,4282,24136,21,3,Positive,Scarce,5,5,1,Yes,187118.0
112,38.0,Male,54416.0,17,3,Eclectic,Rural,9.0,14.0,3,High,12593,9966,4924,36885,1,6,Negative,Scarce,5,2,4,No,114502.0
113,27.0,Male,64711.0,12,4,Modern,Suburban,2.0,14.0,3,Medium,2622,8049,6583,31720,3,2,Positive,Available,3,1,3,Yes,67496.0
114,25.0,Female,11816.0,23,8,Contemporary,Urban,2.0,12.0,3,Medium,6518,3980,4137,22157,18,13,Positive,Not available,1,4,5,Yes,167811.0
115,29.0,Other,82175.0,16,9,Minimalist,Urban,7.0,1.0,3,Low,3657,3842,577,49372,22,9,Negative,Available,4,3,3,Yes,189524.0
116,50.0,Female,69307.0,3,3,Contemporary,Rural,,1.0,4,Medium,19316,6553,5058,20674,8,13,Neutral,Not available,1,1,3,Yes,143049.0
117,38.0,Other,51733.0,22,6,Minimalist,Urban,1.0,12.0,4,High,9699,8074,2858,33357,2,14,Neutral,Scarce,5,3,2,No,170910.0
118,63.0,Male,16240.0,9,5,Minimalist,Rural,8.0,15.0,4,Low,14955,8359,5765,13578,4,19,Neutral,Scarce,3,1,4,No,
119,51.0,Female,97493.0,15,6,Traditional,Suburban,2.0,4.0,3,High,3656,9909,4217,3251,18,11,Neutral,Not available,1,5,1,Yes,189492.0
120,33.0,Female,,5,4,Contemporary,Suburban,3.0,7.0,4,Low,17673,4674,7607,14513,13,14,Neutral,Available,2,3,5,Yes,34431.0
121,,Other,37762.0,23,6,Contemporary,Urban,5.0,16.0,2,High,6858,7647,2461,38429,15,16,Positive,Scarce,5,1,5,Yes,54565.0
122,39.0,Male,13259.0,13,7,Traditional,Suburban,3.0,3.0,3,Low,11401,5270,4975,28105,2,10,Negative,Not available,2,4,1,Yes,193065.0
123,50.0,Female,,14,9,Eclectic,Suburban,7.0,,1,High,9758,6333,5926,47871,10,16,Neutral,Not available,1,5,5,Yes,194107.0
124,37.0,Male,19849.0,20,7,Contemporary,Urban,7.0,6.0,3,High,2473,8705,1689,21990,2,2,Negative,Available,1,3,2,Yes,52312.0
125,,Female,,15,6,Modern,Suburban,2.0,16.0,2,Medium,14281,7502,990,26499,21,16,Neutral,Not available,1,3,3,No,
126,63.0,Male,94709.0,16,1,Traditional,Urban,7.0,8.0,4,Low,16964,2793,5032,7421,12,14,Positive,Not available,4,1,2,No,
127,56.0,Other,59869.0,23,2,Contemporary,Rural,6.0,6.0,3,Low,19371,2545,3768,25591,5,18,Neutral,Available,5,3,2,No,156765.0
128,28.0,Female,68095.0,13,1,Eclectic,Rural,10.0,,4,Medium,13057,1537,2148,27979,12,6,Neutral,Scarce,5,5,2,Yes,174631.0
129,54.0,Female,75910.0,17,9,Contemporary,Rural,9.0,16.0,3,High,8673,6742,6441,21835,23,7,Negative,Scarce,5,2,1,No,87839.0
130,61.0,Male,,23,9,Minimalist,Urban,9.0,11.0,2,High,15281,8948,5218,38693,1,13,Negative,Scarce,4,1,4,No,55058.0
131,47.0,Male,28567.0,8,7,Modern,Urban,2.0,13.0,3,Low,4251,6662,6269,13202,2,2,Positive,Not available,1,4,1,No,147930.0
132,,Female,40292.0,21,2,Traditional,Suburban,7.0,6.0,4,High,6054,4573,5270,36414,16,15,Negative,Not available,1,3,1,No,48324.0
133,39.0,Other,79813.0,2,6,Minimalist,Suburban,5.0,1.0,4,Low,2716,1783,4116,26666,22,17,Negative,Available,2,5,2,No,186016.0
134,53.0,Male,56631.0,5,4,Eclectic,Suburban,6.0,,2,Low,10204,7232,1239,20290,2,13,Negative,Not available,4,3,4,Yes,95687.0
135,60.0,Male,,6,1,Minimalist,Suburban,1.0,12.0,3,High,15106,6445,6078,19130,16,7,Positive,Not available,3,4,1,Yes,180259.0
136,37.0,Male,64659.0,12,1,Minimalist,Suburban,7.0,,1,High,2310,3987,5337,38077,20,1,Positive,Scarce,4,5,4,Yes,33147.0
137,56.0,Female,59306.0,18,5,Eclectic,Urban,6.0,18.0,3,High,18001,2684,3482,20396,16,3,Positive,Not available,2,4,2,No,82914.0
138,31.0,Female,71314.0,22,2,Minimalist,Urban,4.0,13.0,2,Medium,16882,9050,6294,18952,6,18,Negative,Not available,2,5,1,Yes,127879.0
139,46.0,Female,70087.0,22,4,Traditional,Rural,1.0,7.0,1,Low,5257,3687,6801,28122,13,7,Negative,Not available,2,2,4,No,83593.0
140,52.0,Female,34165.0,1,1,Contemporary,Rural,9.0,13.0,2,High,16846,9917,3609,30381,12,17,Positive,Available,1,5,5,Yes,137432.0
141,26.0,Other,63929.0,17,4,Minimalist,Rural,4.0,,3,Medium,11420,5995,2350,46435,23,12,Negative,Not available,3,4,1,No,7048.0
142,30.0,Other,72028.0,11,6,Traditional,Rural,2.0,17.0,1,High,14012,2797,2046,41078,10,16,Negative,Available,2,1,1,No,
143,,Female,,10,4,Contemporary,Urban,8.0,9.0,2,Low,1468,7597,2751,24267,5,10,Neutral,Scarce,5,2,1,Yes,48935.0
144,52.0,Other,55500.0,19,1,Contemporary,Urban,2.0,13.0,4,Medium,6905,8969,324,48735,8,16,Positive,Not available,1,3,4,Yes,
145,44.0,Male,84151.0,14,7,Minimalist,Urban,5.0,2.0,1,Low,13308,4044,6262,43007,6,18,Positive,Available,3,2,3,No,122884.0
146,54.0,Male,63643.0,10,2,Traditional,Suburban,6.0,4.0,1,High,16634,7331,2856,8088,5,15,Negative,Scarce,5,2,1,No,96199.0
147,35.0,Male,49900.0,15,9,Minimalist,Suburban,8.0,2.0,2,High,15801,891,7139,32818,20,11,Negative,Not available,3,3,5,Yes,169045.0
148,52.0,Female,47946.0,19,3,Eclectic,Rural,1.0,4.0,4,High,18523,1468,7932,13822,22,18,Neutral,Available,3,5,5,Yes,114982.0
149,,Male,12851.0,4,8,Contemporary,Suburban,1.0,18.0,1,Medium,10628,5651,360,37589,6,6,Positive,Available,5,2,2,No,151257.0
150,63.0,Other,21288.0,2,8,Minimalist,Urban,4.0,,2,Medium,9728,4864,7975,2436,22,1,Positive,Scarce,4,2,3,Yes,155771.0
151,57.0,Female,77692.0,9,3,Contemporary,Rural,5.0,,1,Medium,18335,3807,422,46665,17,7,Negative,Not available,3,1,3,Yes,
152,25.0,Other,72580.0,10,4,Traditional,Rural,9.0,10.0,1,Medium,12005,6625,5916,28281,6,12,Positive,Not available,4,1,4,Yes,177654.0
153,51.0,Male,12368.0,11,2,Modern,Suburban,7.0,18.0,1,High,8890,4870,2402,23481,17,4,Negative,Not available,3,4,2,Yes,23061.0
154,37.0,Male,90436.0,14,4,Minimalist,Rural,7.0,10.0,4,High,8077,5338,1486,31469,5,10,Neutral,Available,5,3,4,No,82015.0
155,27.0,Male,51403.0,7,9,Minimalist,Suburban,8.0,5.0,3,High,2971,8777,7417,19867,23,2,Negative,Not available,3,5,2,No,
156,63.0,Female,96170.0,23,2,Contemporary,Suburban,5.0,17.0,3,Medium,14568,3634,6118,41487,17,9,Neutral,Available,2,5,3,No,122700.0
157,30.0,Other,14168.0,15,3,Traditional,Rural,5.0,13.0,4,Medium,2191,1554,5458,23766,17,10,Negative,Available,2,4,4,Yes,180669.0
158,32.0,Female,91497.0,22,4,Eclectic,Suburban,1.0,,4,High,13820,4229,5502,30737,13,11,Neutral,Scarce,3,5,2,No,146964.0
159,51.0,Female,,19,5,Traditional,Suburban,9.0,9.0,2,High,8765,3169,2030,22213,22,14,Neutral,Available,5,5,3,No,28931.0
160,33.0,Male,64871.0,22,1,Minimalist,Suburban,6.0,12.0,1,Medium,11254,775,4941,29355,7,3,Positive,Scarce,5,1,3,Yes,105175.0
161,61.0,Female,94388.0,15,7,Eclectic,Suburban,9.0,14.0,4,Low,4046,6217,4389,23537,22,1,Negative,Scarce,1,5,1,Yes,29654.0
162,57.0,Female,37174.0,8,7,Traditional,Rural,3.0,14.0,2,High,12750,9797,6556,3794,21,7,Positive,Not available,5,5,4,No,93478.0
163,48.0,Male,97491.0,11,9,Modern,Urban,5.0,8.0,3,High,13703,8522,2772,45296,6,4,Positive,Scarce,4,4,1,No,194892.0
164,39.0,Female,11581.0,9,4,Contemporary,Urban,,5.0,3,High,17688,8500,3265,33324,14,7,Negative,Not available,3,4,3,Yes,58886.0
165,56.0,Male,76853.0,15,6,Traditional,Suburban,10.0,19.0,3,Medium,9043,628,2577,31858,16,16,Positive,Scarce,2,2,4,Yes,
166,56.0,Male,69046.0,1,2,Traditional,Suburban,5.0,14.0,3,High,5908,7577,4387,43850,3,10,Positive,Available,5,5,4,Yes,77470.0
167,48.0,Male,54678.0,1,4,Modern,Suburban,8.0,9.0,2,High,11627,4826,7750,14018,9,15,Positive,Not available,2,5,5,Yes,105029.0
168,36.0,Male,31649.0,19,2,Minimalist,Urban,2.0,7.0,1,High,3804,4068,3264,18481,15,16,Negative,Available,1,5,2,Yes,70324.0
169,63.0,Female,93668.0,3,5,Contemporary,Suburban,8.0,8.0,2,High,11176,8122,1610,16584,21,6,Positive,Not available,3,1,5,No,110520.0
170,26.0,Male,,10,7,Traditional,Rural,4.0,14.0,1,High,4936,8580,454,10850,18,4,Positive,Available,5,5,5,No,70027.0
171,,Male,19567.0,8,1,Eclectic,Rural,10.0,14.0,3,Low,18096,2902,2512,26701,10,4,Positive,Scarce,2,1,3,No,6425.0
172,61.0,Female,85404.0,15,7,Traditional,Rural,10.0,,4,Low,10873,2147,7405,42223,10,4,Negative,Not available,5,2,2,No,137805.0
173,41.0,Female,94906.0,10,6,Contemporary,Urban,1.0,14.0,4,High,12390,4056,3553,44952,23,17,Neutral,Not available,1,3,5,Yes,181447.0
174,26.0,Other,66944.0,1,6,Traditional,Suburban,5.0,8.0,4,High,9366,2693,1562,46975,3,13,Neutral,Not available,2,5,5,Yes,69411.0
175,26.0,Female,,18,8,Modern,Suburban,1.0,3.0,1,High,15614,3604,7092,1160,1,2,Neutral,Scarce,2,4,4,No,15603.0
176,52.0,Female,33803.0,2,8,Traditional,Suburban,,18.0,3,High,7506,4855,1662,26832,3,6,Neutral,Available,3,4,3,Yes,17152.0
177,47.0,Other,23230.0,19,6,Traditional,Urban,8.0,3.0,2,Medium,19156,2634,1237,32210,5,1,Positive,Scarce,3,5,5,No,151873.0
